doc_id,type,extension,method,precision,recall,f1,precision_fuzzy,recall_fuzzy,f1_fuzzy
2020_06_practical_4d_interpretation,pdf_scans,.pdf,rule,0.0520833333327908,0.5555555554938272,0.09523809507954648,0.07291666666590711,0.777777777691358,0.13333333317405893
2020_06_practical_4d_interpretation,pdf_scans,.pdf,nlp,0.0,0.0,0.0,0.0,0.0,0.0
2020_06_practical_4d_interpretation,pdf_scans,.pdf,hybrid,0.0520833333327908,0.5555555554938272,0.09523809507954648,0.07291666666590711,0.777777777691358,0.13333333317405893
A decade of marine seismic technology development,doc_Word,.docx,rule,0.99999999975,0.6666666665555555,0.79999999936,0.99999999975,0.6666666665555555,0.79999999936
A decade of marine seismic technology development,doc_Word,.docx,nlp,0.0,0.0,0.0,0.0,0.0,0.0
A decade of marine seismic technology development,doc_Word,.docx,hybrid,0.99999999975,0.6666666665555555,0.79999999936,0.99999999975,0.6666666665555555,0.79999999936
Alaska_North_Slope_petroleum_systems,pdf_scans,.pdf,rule,0.1428571428367347,0.3333333332222222,0.19999999953999997,0.1428571428367347,0.3333333332222222,0.19999999953999997
Alaska_North_Slope_petroleum_systems,pdf_scans,.pdf,nlp,0.0,0.0,0.0,0.0,0.0,0.0
Alaska_North_Slope_petroleum_systems,pdf_scans,.pdf,hybrid,0.1428571428367347,0.3333333332222222,0.19999999953999997,0.1428571428367347,0.3333333332222222,0.19999999953999997
Applying Seismic Inversion Technique and Seismic Attributes for Komombo Basin,pdf_text,.pdf,rule,0.13636363636157023,0.6923076922544379,0.22784810098509853,0.13636363636157023,0.6923076922544379,0.22784810098509853
Applying Seismic Inversion Technique and Seismic Attributes for Komombo Basin,pdf_text,.pdf,nlp,0.0,0.0,0.0,0.0,0.0,0.0
Applying Seismic Inversion Technique and Seismic Attributes for Komombo Basin,pdf_text,.pdf,hybrid,0.13636363636157023,0.6923076922544379,0.22784810098509853,0.13636363636157023,0.6923076922544379,0.22784810098509853
Assessment of Tight-Oil and Tight-Gas Resources,pdf_text,.pdf,rule,0.5714285713469388,0.5714285713469388,0.5714285708469388,0.5714285713469388,0.5714285713469388,0.5714285708469388
Assessment of Tight-Oil and Tight-Gas Resources,pdf_text,.pdf,nlp,0.0,0.0,0.0,0.0,0.0,0.0
Assessment of Tight-Oil and Tight-Gas Resources,pdf_text,.pdf,hybrid,0.5714285713469388,0.5714285713469388,0.5714285708469388,0.5714285713469388,0.5714285713469388,0.5714285708469388
Characterization of Three Forks Formation Reservoir Lithofacies,pdf_text,.pdf,rule,0.09090909090817263,0.8181818181074381,0.16363636345338844,0.09090909090817263,0.8181818181074381,0.16363636345338844
Characterization of Three Forks Formation Reservoir Lithofacies,pdf_text,.pdf,nlp,0.0,0.0,0.0,0.0,0.0,0.0
Characterization of Three Forks Formation Reservoir Lithofacies,pdf_text,.pdf,hybrid,0.09090909090817263,0.8181818181074381,0.16363636345338844,0.09090909090817263,0.8181818181074381,0.16363636345338844
Convolution_Polarity,images,.jpg,rule,0.0,0.0,0.0,0.0,0.0,0.0
Convolution_Polarity,images,.jpg,nlp,0.0,0.0,0.0,0.0,0.0,0.0
Convolution_Polarity,images,.jpg,hybrid,0.0,0.0,0.0,0.0,0.0,0.0
