doc_id,type,extension,tables,warnings,text_len,tables_ratio
2020_06_practical_4d_interpretation,pdf_scans,.pdf,0,0,4615,0.0
A decade of marine seismic technology development,doc_Word,.docx,0,0,0,0.0
Alaska_North_Slope_petroleum_systems,pdf_scans,.pdf,0,0,2680,0.0
Applying Seismic Inversion Technique and Seismic Attributes for Komombo Basin,pdf_text,.pdf,1,0,18211,5.491186645434078e-05
Assessment of Tight-Oil and Tight-Gas Resources,pdf_text,.pdf,3,0,12117,0.0002475860361475613
Characterization of Three Forks Formation Reservoir Lithofacies,pdf_text,.pdf,6,0,22566,0.00026588673225206064
Convolution_Polarity,images,.jpg,0,0,222,0.0
Example-of-a-near-seafloor-structure,images,.jpg,0,0,278,0.0
Geophysics,txt,.txt,0,0,3421,0.0
Integration of Deterministic Seismic inversion with Machine Learning,doc_Word,.docx,0,0,0,0.0
Interpretation of incised valleys using new 3-D seismic techniques,pdf_text,.pdf,7,0,17193,0.00040714244169138603
Interpretational applications of spectral decomposition in reservoir characterization,pdf_text,.pdf,13,0,14110,0.0009213323883770375
Northern-Gulf-of-Mexico-Basin-source-intervals-ages-hydrocarbon-families-and-summary,images,.jpg,0,0,1318,0.0
NPD Oligocene to Pliocene well and borehole data,pdf_scans,.pdf,0,0,7465,0.0
Oil well operation parameters (2013),tables,.xlsx,0,0,0,0.0
Predicting rock properties,txt,.txt,0,0,3770,0.0
Public Dataset for Machine Learning in Seismic Interpretation,pdf_text,.pdf,0,0,24960,0.0
Reservoir rock allocated to each producing zone,tables,.xlsx,0,0,0,0.0
Seismic attributes,txt,.txt,0,0,7572,0.0
Seismic_Imaging_and_Interpretation_Techniques,doc_Word,.docx,0,0,0,0.0
W1 Well Logs,tables,.xlsx,0,0,0,0.0
WA1,txt,.txt,1,0,8414,0.0001188495364868077
