doc_id,type,extension,tp,fp,fn,precision,recall,f1,n_gt,n_pred
A decade of marine seismic technology development,doc_word,.docx,22,8,0,0.7333333333333333,1.0,0.846153846153846,22,30
Integration of Deterministic Seismic inversion with Machine Learning,doc_word,.docx,28,6,4,0.8235294117647058,0.875,0.8484848484848485,32,34
Seismic_Imaging_and_Interpretation_Techniques,doc_word,.docx,18,4,1,0.8181818181818182,0.9473684210526315,0.8780487804878049,19,22
2020_06_practical_4d_interpretation,pdf_scans,.pdf,11,8,17,0.5789473684210527,0.39285714285714285,0.46808510638297873,28,19
Alaska_North_Slope_petroleum_systems,pdf_scans,.pdf,5,1,3,0.8333333333333334,0.625,0.7142857142857143,8,6
NPD Oligocene to Pliocene well and borehole data,pdf_scans,.pdf,2,0,11,1.0,0.15384615384615385,0.2666666666666667,13,2
Applying Seismic Inversion Technique and Seismic Attributes for Komombo Basin,pdf_text,.pdf,35,32,10,0.5223880597014925,0.7777777777777778,0.625,45,67
Assessment of Tight-Oil and Tight-Gas Resources,pdf_text,.pdf,8,10,13,0.4444444444444444,0.38095238095238093,0.41025641025641024,21,18
Characterization of Three Forks Formation Reservoir Lithofacies,pdf_text,.pdf,15,20,30,0.42857142857142855,0.3333333333333333,0.375,45,35
Interpretation of incised valleys using new 3-D seismic techniques,pdf_text,.pdf,21,6,17,0.7777777777777778,0.5526315789473685,0.6461538461538462,38,27
Interpretational applications of spectral decomposition in reservoir characterization,pdf_text,.pdf,16,11,22,0.5925925925925926,0.42105263157894735,0.49230769230769234,38,27
Public Dataset for Machine Learning in Seismic Interpretation,pdf_text,.pdf,31,37,39,0.45588235294117646,0.44285714285714284,0.4492753623188406,70,68
Geophysics,txt,.txt,11,3,0,0.7857142857142857,1.0,0.88,11,14
Predicting rock properties,txt,.txt,13,4,1,0.7647058823529411,0.9285714285714286,0.8387096774193549,14,17
Seismic attributes,txt,.txt,18,1,0,0.9473684210526315,1.0,0.972972972972973,18,19
WA1,txt,.txt,2,0,0,1.0,1.0,1.0,2,2
