doc_id,file_name,md5,sha1,type,language,path,block_count,has_tables,avg_block_length,extension,requires_ocr
2020_06_practical_4d_interpretation,2020_06_practical_4d_interpretation.json,56bb61e4da899850c58d6d5f24f98ae2,58d7e656a4360c675d79bfea1ac935172a670f7f,pdf_scans,en,data/raw/pdf_scans,28,False,20.25,.pdf,True
A decade of marine seismic technology development,A decade of marine seismic technology development.json,cf25256256724ba6f8ce868b992a87db,bf1171e4f585d2a0d8b032e4a06ed6a9003f5e0f,doc_Word,en,data/raw/doc_Word,22,False,120.18181818181819,.docx,False
Alaska_North_Slope_petroleum_systems,Alaska_North_Slope_petroleum_systems.json,415bb88e79e72b21ab9eaaee87d4f41d,ee8a62882f6805d78c3001ed7c4375af964584d4,pdf_scans,en,data/raw/pdf_scans,8,False,58.5,.pdf,True
Applying Seismic Inversion Technique and Seismic Attributes for Komombo Basin,Applying Seismic Inversion Technique and Seismic Attributes for Komombo Basin.json,21916c5e738b16dbce7247e5f49ef027,b419d0cb7d86b5f4f00729f82e4c03defa8b3783,pdf_text,en,data/raw/pdf_text,45,False,50.82222222222222,.pdf,False
Assessment of Tight-Oil and Tight-Gas Resources,Assessment of Tight-Oil and Tight-Gas Resources.json,5ed7bcc8955a00d61b47afd74966935c,74642f0f941b6abfd0c722ccb626ad687656a47f,pdf_text,en,data/raw/pdf_text,21,False,58.19047619047619,.pdf,False
Characterization of Three Forks Formation Reservoir Lithofacies,Characterization of Three Forks Formation Reservoir Lithofacies.json,2dbb51364995c732b50ed9b7d2493441,616416ff8e7bdfbd05fa238cc36d7bee084ac350,pdf_text,en,data/raw/pdf_text,45,True,61.17777777777778,.pdf,False
Convolution_Polarity,Convolution_Polarity.json,66b97d05ce9c97c17aa2866f84795c45,53295528e3be7cdde196f5d6b45132ba9f29fd1e,images,en,data/raw/images,1,False,33.0,.jpg,True
Example-of-a-near-seafloor-structure,Example-of-a-near-seafloor-structure.json,eb267e1d295f0fd63489cd2326170105,d4fa0562d0eabaecba61e811175f4d17dc01c888,images,en,data/raw/images,1,False,42.0,.jpg,True
Geophysics,Geophysics.json,6d05b093b08ec76b95a49d23636194b4,7114398b29d6be8a3de2fcdd4f8f4eb0e06b4a96,txt,en,data/raw/txt,11,False,43.81818181818182,.txt,False
Integration of Deterministic Seismic inversion with Machine Learning,Integration of Deterministic Seismic inversion with Machine Learning.json,bcf8f14dc40ea085a13de9d3891deb59,27c87dc36bd915d8868db664eeddc6142d979753,doc_Word,en,data/raw/doc_Word,32,False,39.0625,.docx,False
Interpretation of incised valleys using new 3-D seismic techniques,Interpretation of incised valleys using new 3-D seismic techniques.json,1a389e3b4e8e1ef3583eaa58c6ecd6c4,ad72e28c40a5e05019dee925252afc2dc606bbfc,pdf_text,en,data/raw/pdf_text,38,False,66.65789473684211,.pdf,False
Interpretational applications of spectral decomposition in reservoir characterization,Interpretational applications of spectral decomposition in reservoir characterization.json,e43cb95b45599f5541d131930c140499,4e3357a72821688c86e304d9c5c13160fdf2f2e1,pdf_text,en,data/raw/pdf_text,38,False,50.026315789473685,.pdf,False
Northern-Gulf-of-Mexico-Basin-source-intervals-ages-hydrocarbon-families-and-summary,Northern-Gulf-of-Mexico-Basin-source-intervals-ages-hydrocarbon-families-and-summary.json,d645dc9291141e6b68beab2d6929d19a,ba74acb11f0d023b8c2474646c44e65b3208e129,images,en,data/raw/images,1,False,144.0,.jpg,True
NPD Oligocene to Pliocene well and borehole data,NPD Oligocene to Pliocene well and borehole data.json,03623ea3f3c8546b8f112f902ebd4369,aaa8b31ffa020c3757b847ac419aaaea453af602,pdf_scans,en,data/raw/pdf_scans,13,False,93.61538461538461,.pdf,True
Oil well operation parameters (2013),Oil well operation parameters (2013).json,b7bf02ab0bedb2e06ee1beb9d11636f7,713408d519c9fb56b5674757e2e48a0363171d50,tables,en,data/raw/tables,1,True,9.0,.xlsx,False
Predicting rock properties,Predicting rock properties.json,8ba0143d79432cd362164517029ec3c2,a7c20c352657e74b632cc3faa183102c6e74ae16,txt,en,data/raw/txt,14,False,32.785714285714285,.txt,False
Public Dataset for Machine Learning in Seismic Interpretation,Public Dataset for Machine Learning in Seismic Interpretation.json,6350925395dbe0feaac59c6c73da3efb,d649ee242c858b7ab802f97204f7d5f1faa56261,pdf_text,en,data/raw/pdf_text,70,True,43.17142857142857,.pdf,False
Reservoir rock allocated to each producing zone,Reservoir rock allocated to each producing zone.json,f89d465cadf629e881f3b59a6cad8ffc,471073927c7e68fdc47e4d31739b3cb2657e665d,tables,en,data/raw/tables,1,True,12.0,.xlsx,False
Seismic attributes,Seismic attributes.json,710dfb1bddbcc8349624b6e60d90922b,c744500c0a0075a8aaf75c008b989b07d5e1a718,txt,en,data/raw/txt,18,False,65.27777777777777,.txt,False
Seismic_Imaging_and_Interpretation_Techniques,Seismic_Imaging_and_Interpretation_Techniques.json,b925ca29cbaabd8466fd912efea195ba,90dd9fc7413715ebb80b8055ce7c74c8b65233f4,doc_Word,en,data/raw/doc_Word,19,False,112.6842105263158,.docx,False
W1 Well Logs,W1 Well Logs.json,9fecb782b5093eefc1364225daab7f68,f156ee6071a1f9329815dc8515bd2f81cbe6d04a,tables,en,data/raw/tables,1,True,3.0,.xlsx,False
WA1,WA1.json,89e16accd89ff487541726b353b078bb,d01782e81c55ee0e8224ae8dc3fa11afd9e58d4d,txt,en,data/raw/txt,2,True,19.5,.txt,False
