doc_id,type,extension,types_blocks,keys
A decade of marine seismic technology development,doc_Word,.docx,"header, paragraph","start_page, text, type"
Seismic_Imaging_and_Interpretation_Techniques,doc_Word,.docx,"figure, header, paragraph","caption, start_page, text, type"
Integration of Deterministic Seismic inversion with Machine Learning,doc_Word,.docx,"figure, header, paragraph","caption, start_page, text, type"
Northern-Gulf-of-Mexico-Basin-source-intervals-ages-hydrocarbon-families-and-summary,images,.jpg,paragraph,"start_page, text, type"
Convolution_Polarity,images,.jpg,header,"start_page, text, type"
Example-of-a-near-seafloor-structure,images,.jpg,paragraph,"start_page, text, type"
2020_06_practical_4d_interpretation,pdf_scans,.pdf,"header, list, paragraph","items, start_page, text, type"
Public Dataset for Machine Learning in Seismic Interpretation,pdf_text,.pdf,"figure, header, list, paragraph, table","caption, content, items, ordered, start_page, text, type"
NPD Oligocene to Pliocene well and borehole data,pdf_scans,.pdf,"header, paragraph","start_page, text, type"
Interpretational applications of spectral decomposition in reservoir characterization,pdf_text,.pdf,"figure, header, paragraph","caption, start_page, text, type"
Interpretation of incised valleys using new 3-D seismic techniques,pdf_text,.pdf,"figure, header, paragraph","caption, start_page, text, type"
Characterization of Three Forks Formation Reservoir Lithofacies,pdf_text,.pdf,"figure, header, list, paragraph, table","caption, header, items, ordered, rows, start_page, text, type"
Assessment of Tight-Oil and Tight-Gas Resources,pdf_text,.pdf,"figure, header, list, paragraph","caption, items, ordered, start_page, text, type"
Applying Seismic Inversion Technique and Seismic Attributes for Komombo Basin,pdf_text,.pdf,"figure, header, list, paragraph","caption, items, ordered, start_page, text, type"
Alaska_North_Slope_petroleum_systems,pdf_scans,.pdf,"header, paragraph","start_page, text, type"
Geophysics,txt,.txt,"header, list, paragraph","items, start_page, text, type"
Predicting rock properties,txt,.txt,"header, list, paragraph","items, start_page, text, type"
Seismic attributes,txt,.txt,"figure, header, paragraph","caption, start_page, text, type"
WA1,txt,.txt,"paragraph, table","columns, rows, start_page, text, type"
Oil well operation parameters (2013),tables,.xlsx,table,"caption, columns, data, start_page, type"
Reservoir rock allocated to each producing zone,tables,.xlsx,table,"caption, columns, data, start_page, type"
W1 Well Logs,tables,.xlsx,table,"caption, columns, data, header_descriptions, start_page, type"
